Feature, Handler, Value
VERSION_v1, VERSION_v1, v1
VERSION_v1beta1, VERSION_v1beta1, v1beta1
VERSION_v1beta3, VERSION_v1beta3, v1beta3
VERSION_v1alpha1, VERSION_v1alpha1, VERSION_v1alpha1
VERSION_v1alpha2, VERSION_v1alpha2, VERSION_v1alpha2
VERSION_v2, VERSION_v2, v2
GROUP_admissionregistration, GROUP_admissionregistration, admissionregistration.k8s.io
GROUP_apiextensions, GROUP_apiextensions, apiextensions.k8s.io
GROUP_apiregistration, GROUP_apiregistration, apiregistration.k8s.io
GROUP_apps, GROUP_apps, apps
GROUP_authentication, GROUP_authentication, authentication.k8s.io
GROUP_authorization, GROUP_authorization, authorization.k8s.io
GROUP_autoscaling, GROUP_autoscaling, autoscaling
GROUP_batch, GROUP_batch, batch
GROUP_certificates, GROUP_certificates, certificates.k8s.io
GROUP_coordination, GROUP_coordination, coordination.k8s.io
GROUP_core, GROUP_core, core
GROUP_discovery, GROUP_discovery, discovery.k8s.io
GROUP_events, GROUP_events, events.k8s.io
GROUP_flowcontrol_apiserver, GROUP_flowcontrol_apiserver, flowcontrol.apiserver.k8s.io
GROUP_internal_apiserver, GROUP_internal_apiserver, internal.apiserver.k8s.io
GROUP_networking, GROUP_networking, networking.k8s.io
GROUP_node, GROUP_node, node.k8s.io
GROUP_policy, GROUP_policy, policy
GROUP_rbac_authorization, GROUP_rbac_authorization, rbac.authorization.k8s.io
GROUP_resource, GROUP_resource, resource.k8s.io
GROUP_scheduling, GROUP_scheduling, scheduling.k8s.io
GROUP_storage, GROUP_storage, storage.k8s.io
KIND_Container, KIND_Container, Container
KIND_CronJob, KIND_CronJob, CronJob
KIND_DaemonSet, KIND_DaemonSet, DaemonSet
KIND_Deployment, KIND_Deployment, Deployment
KIND_Job, KIND_Job, Job
KIND_Pod, KIND_Pod, Pod
KIND_ReplicaSet, KIND_ReplicaSet, ReplicaSet
KIND_ReplicationController, KIND_ReplicationController, ReplicationController
